"","Effective Federal Funds Rate"
"1",0.799354838709677
"2",1.22064516129032
"3",1.06666666666667
"4",0.848709677419355
"5",0.833666666666667
"6",1.27774193548387
"7",1.39129032258065
"8",1.29178571428571
"9",1.34677419354839
"10",1.42766666666667
"11",1.43322580645161
"12",1.64466666666667
"13",1.68225806451613
"14",1.95645161290323
"15",2.17866666666667
"16",2.24032258064516
"17",2.35433333333333
"18",2.48225806451613
"19",2.45387096774194
"20",2.49586206896552
"21",2.49806451612903
"22",2.62333333333333
"23",2.75
"24",2.70833333333333
"25",2.74612903225806
"26",2.7341935483871
"27",2.95
"28",2.96451612903226
"29",2.882
"30",2.94161290322581
"31",2.84354838709677
"32",3
"33",2.96193548387097
"34",3
"35",3
"36",3
"37",2.99032258064516
"38",3.24290322580645
"39",3.46666666666667
"40",3.5
"41",3.275
"42",2.98387096774194
"43",2.71806451612903
"44",1.67464285714286
"45",1.19774193548387
"46",1.264
"47",0.626774193548387
"48",0.930333333333333
"49",0.682903225806452
"50",1.52935483870968
"51",1.75866666666667
"52",1.80290322580645
"53",2.26666666666667
"54",2.42387096774194
"55",2.4841935483871
"56",2.42857142857143
"57",2.80387096774194
"58",2.95833333333333
"59",2.89516129032258
"60",3.39166666666667
"61",3.46774193548387
"62",3.5
"63",3.75833333333333
"64",3.98387096774194
"65",4
"66",3.99193548387097
"67",3.99193548387097
"68",3.96551724137931
"69",3.83870967741935
"70",3.91666666666667
"71",3.84677419354839
"72",3.31666666666667
"73",3.2258064516129
"74",2.9758064516129
"75",2.6
"76",2.46774193548387
"77",2.44166666666667
"78",1.98387096774194
"79",1.44774193548387
"80",2.54464285714286
"81",2.0241935483871
"82",1.49166666666667
"83",1.9758064516129
"84",1.725
"85",1.16935483870968
"86",2
"87",1.875
"88",2.25806451612903
"89",2.60833333333333
"90",2.33064516129032
"91",2.14516129032258
"92",2.36607142857143
"93",2.85483870967742
"94",2.78333333333333
"95",2.36290322580645
"96",2.68333333333333
"97",2.70967741935484
"98",2.92741935483871
"99",2.9
"100",2.89612903225806
"101",2.94333333333333
"102",2.93322580645161
"103",2.91612903225806
"104",3
"105",2.9841935483871
"106",2.90066666666667
"107",3
"108",2.99166666666667
"109",3.01677419354839
"110",3.48838709677419
"111",3.47933333333333
"112",3.49612903225806
"113",3.48333333333333
"114",3.37548387096774
"115",3.48387096774194
"116",3.48275862068966
"117",3.42774193548387
"118",3.46733333333333
"119",3.49612903225806
"120",3.5
"121",3.41935483870968
"122",3.5
"123",3.45
"124",3.35903225806452
"125",3.51766666666667
"126",3.84677419354839
"127",3.90322580645161
"128",3.98285714285714
"129",4.04612903225806
"130",4.091
"131",4.10064516129032
"132",4.046
"133",4.09258064516129
"134",4.12161290322581
"135",4.01633333333333
"136",4.08064516129032
"137",4.10466666666667
"138",4.32483870967742
"139",4.42290322580645
"140",4.6025
"141",4.6558064516129
"142",4.67166666666667
"143",4.89774193548387
"144",5.17233333333333
"145",5.29935483870968
"146",5.53451612903226
"147",5.39766666666667
"148",5.53225806451613
"149",5.75833333333333
"150",5.39516129032258
"151",4.94354838709677
"152",5
"153",4.53225806451613
"154",4.05433333333333
"155",3.94
"156",3.98433333333333
"157",3.79451612903226
"158",3.89612903225806
"159",3.988
"160",3.88064516129032
"161",4.12633333333333
"162",4.51
"163",4.60645161290323
"164",4.71275862068966
"165",5.05354838709677
"166",5.75966666666667
"167",6.11548387096774
"168",6.07333333333333
"169",6.02645161290323
"170",6.03129032258065
"171",5.77633333333333
"172",5.91354838709677
"173",5.81833333333333
"174",6.01935483870968
"175",6.30064516129032
"176",6.61285714285714
"177",6.79322580645161
"178",7.41466666666667
"179",8.67032258064516
"180",8.90133333333333
"181",8.61322580645161
